OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.1025,0.1025,27.89,60.15,1
0.1949,0.0924,27.64,60.29,1
0.2505,0.0556,27.74,60.47,0
0.2583,0.0078,27.85,60.64,0
0.3334,0.0751,27.64,60.79,1
0.3628,0.0294,27.45,60.93,1
0.3637,0.0009,27.34,61.07,1
0.4165,0.0527,27.13,61.21,1
0.4057,-0.0108,26.94,61.34,1
0.4039,-0.0018,26.83,61.48,1
0.4208,0.0169,26.82,61.61,1
0.4562,0.0354,26.32,61.7,2
0.4999,0.0437,25.89,61.79,2
0.4949,-0.005,25.68,61.88,2
0.4649,-0.03,25.34,61.96,2
0.5118,0.0468,25.03,62.05,2
0.5774,0.0656,24.85,62.14,2
0.5943,0.0169,24.68,62.23,2
0.5956,0.0013,24.55,62.31,2
0.5979,0.0023,24.39,62.39,2
0.5796,-0.0182,24.24,62.48,2
0.5755,-0.0041,24.02,62.56,2
0.5595,-0.016,23.92,62.63,2
0.5481,-0.0114,23.8,62.71,2
0.5615,0.0133,23.6,62.78,2
0.5756,0.0141,23.59,62.85,2
0.5579,-0.0177,23.5,62.92,2
0.5991,0.0411,23.48,63.0,2
0.5886,-0.0105,23.41,63.07,2
0.6095,0.0208,23.28,63.13,2
0.6258,0.0164,23.21,63.2,2
0.6498,0.024,23.2,63.27,2
0.5911,-0.0587,23.2,63.34,2
0.5894,-0.0017,23.07,63.4,2
0.5946,0.0051,23.03,63.46,2
0.5933,-0.0013,22.96,63.52,2
0.5729,-0.0204,22.96,63.58,2
0.6021,0.0291,22.98,63.64,2
0.5748,-0.0273,22.99,63.69,2
0.572,-0.0028,22.93,63.75,2
0.5679,-0.0041,22.85,63.8,2
0.5746,0.0067,22.79,63.85,2
0.5896,0.015,22.83,63.91,2
0.5355,-0.054,22.83,63.96,2
0.4943,-0.0412,22.85,64.0,2
0.4902,-0.0041,22.73,64.05,2
0.5035,0.0134,22.62,64.09,2
0.5163,0.0127,22.59,64.13,2
0.5412,0.0249,22.63,64.18,2
0.5169,-0.0243,22.57,64.22,2
0.4958,-0.0211,22.52,64.26,2
0.4981,0.0024,22.43,64.3,2
0.5573,0.0592,22.43,64.34,2
0.5242,-0.0331,22.44,64.38,2
0.5294,0.0052,22.46,64.42,2
0.5465,0.0171,22.48,64.46,2
0.5628,0.0164,22.48,64.5,2
0.5555,-0.0073,22.42,64.54,2
0.5588,0.0033,22.41,64.57,2
0.5728,0.014,22.45,64.61,2
0.5906,0.0178,22.49,64.65,2
