OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.1175,0.1175,27.77,60.15,1
0.1859,0.0684,27.5,60.29,1
0.2457,0.0598,27.62,60.47,0
0.3208,0.0751,27.7,60.65,0
0.3464,0.0256,27.43,60.79,1
0.4005,0.0541,27.21,60.93,1
0.2643,-0.1362,27.34,61.1,0
0.3471,0.0828,27.43,61.26,0
0.4424,0.0953,27.42,61.4,1
0.46,0.0177,27.32,61.54,1
0.5283,0.0682,26.88,61.63,2
0.5014,-0.0268,26.47,61.72,2
0.4829,-0.0186,26.12,61.81,2
0.3335,-0.1494,26.17,61.93,1
0.378,0.0446,26.26,62.05,1
0.3847,0.0067,26.25,62.17,1
0.4594,0.0747,25.91,62.25,2
0.495,0.0356,25.66,62.33,2
0.5421,0.0471,25.36,62.41,2
0.5948,0.0527,25.08,62.49,2
0.5643,-0.0305,24.81,62.57,2
0.5178,-0.0465,24.55,62.65,2
0.5558,0.038,24.46,62.72,2
0.5285,-0.0273,24.23,62.79,2
0.5356,0.007,24.02,62.86,2
0.5201,-0.0155,23.89,62.93,2
0.5173,-0.0028,23.76,63.0,2
0.5068,-0.0105,23.59,63.07,2
0.5239,0.0171,23.5,63.13,2
0.5207,-0.0032,23.4,63.19,2
0.5442,0.0235,23.38,63.26,2
0.5188,-0.0254,23.33,63.32,2
0.5385,0.0197,23.27,63.38,2
0.5051,-0.0334,23.16,63.44,2
0.496,-0.0092,23.15,63.49,2
0.4982,0.0022,23.04,63.55,2
0.5068,0.0086,22.97,63.6,2
0.5052,-0.0016,22.85,63.65,2
0.523,0.0178,22.76,63.71,2
0.5451,0.022,22.8,63.76,2
0.5171,-0.0279,22.71,63.81,2
0.5217,0.0046,22.73,63.86,2
0.5305,0.0087,22.67,63.91,2
0.5433,0.0128,22.67,63.96,2
0.546,0.0027,22.67,64.01,2
0.5783,0.0323,22.73,64.06,2
0.582,0.0038,22.73,64.1,2
0.6104,0.0284,22.71,64.15,2
0.5845,-0.026,22.72,64.2,2
0.6169,0.0324,22.72,64.25,2
0.5746,-0.0422,22.64,64.29,2
0.607,0.0324,22.68,64.33,2
0.6212,0.0142,22.65,64.38,2
0.6494,0.0282,22.67,64.42,2
