OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.1475,0.1475,27.82,60.15,1
0.2738,0.1263,27.69,60.3,1
0.1753,-0.0984,27.7,60.47,0
0.2465,0.0711,27.83,60.64,0
0.3366,0.0901,27.62,60.79,1
0.4346,0.098,27.42,60.93,1
0.4366,0.0021,27.34,61.08,1
0.4685,0.0319,26.91,61.18,2
0.3206,-0.1479,26.43,61.27,2
0.3662,0.0456,26.31,61.4,1
0.4145,0.0483,26.3,61.54,1
0.4325,0.0181,26.32,61.67,1
0.4528,0.0203,25.94,61.76,2
0.4582,0.0054,25.68,61.84,2
0.4898,0.0316,25.42,61.93,2
0.3411,-0.1487,25.47,62.05,1
0.441,0.0999,25.48,62.17,1
0.4383,-0.0027,25.49,62.29,1
0.5064,0.0681,25.27,62.37,2
0.5795,0.073,25.08,62.45,2
0.6172,0.0377,24.88,62.53,2
0.6332,0.016,24.74,62.61,2
0.6116,-0.0217,24.46,62.69,2
0.6029,-0.0086,24.3,62.77,2
0.6299,0.0269,24.21,62.84,2
0.6231,-0.0068,23.99,62.92,2
0.6143,-0.0087,23.85,62.99,2
0.6074,-0.007,23.7,63.06,2
0.4398,-0.1675,23.87,63.16,1
0.3344,-0.1054,23.93,63.26,1
0.4238,0.0894,24.2,63.35,1
0.4867,0.0629,24.1,63.41,2
0.5342,0.0474,23.98,63.47,2
0.5629,0.0288,23.83,63.53,2
0.5429,-0.0201,23.62,63.58,2
0.5285,-0.0143,23.55,63.64,2
0.5575,0.029,23.35,63.69,2
0.5342,-0.0234,23.3,63.75,2
0.5478,0.0137,23.2,63.8,2
0.5304,-0.0175,23.09,63.85,2
0.516,-0.0143,23.07,63.9,2
0.5166,0.0006,22.94,63.95,2
0.5221,0.0055,22.97,63.99,2
0.5252,0.0031,22.86,64.04,2
0.5069,-0.0183,22.81,64.08,2
0.5454,0.0385,22.82,64.13,2
0.5633,0.0178,22.82,64.18,2
0.5657,0.0024,22.88,64.22,2
0.5743,0.0086,22.9,64.26,2
0.6006,0.0263,22.87,64.31,2
0.6101,0.0096,22.88,64.35,2
0.595,-0.0152,22.81,64.4,2
0.5701,-0.0249,22.77,64.44,2
0.5707,0.0006,22.71,64.48,2
0.5483,-0.0224,22.82,64.51,2
0.5657,0.0174,22.71,64.55,2
0.5689,0.0032,22.74,64.59,2
0.5779,0.009,22.66,64.63,2
0.6161,0.0382,22.62,64.67,2
0.6373,0.0212,22.64,64.7,2
0.6695,0.0321,22.62,64.74,2
0.6782,0.0087,22.6,64.78,2
0.6663,-0.0119,22.71,64.82,2
0.6934,0.0271,22.78,64.86,2
0.7078,0.0144,22.75,64.9,2
0.691,-0.0168,22.82,64.93,2
0.675,-0.016,22.86,64.97,2
0.6939,0.0188,22.78,65.0,2
0.6713,-0.0226,22.73,65.04,2
0.6471,-0.0242,22.77,65.07,2
0.6789,0.0318,22.75,65.1,2
0.6654,-0.0134,22.74,65.13,2
0.6738,0.0084,22.73,65.16,2
0.6485,-0.0254,22.79,65.19,2
0.6403,-0.0082,22.85,65.22,2
0.6551,0.0148,22.8,65.25,2
0.6453,-0.0097,22.91,65.28,2
0.5931,-0.0522,22.9,65.3,2
0.591,-0.0021,22.91,65.32,2
0.6259,0.0349,23.0,65.35,2
0.639,0.0131,22.96,65.37,2
0.5722,-0.0668,22.9,65.39,2
0.5799,0.0078,22.78,65.42,2
0.5656,-0.0143,22.77,65.44,2
0.5672,0.0016,22.77,65.46,2
0.6034,0.0362,22.7,65.48,2
0.6186,0.0152,22.72,65.5,2
0.6109,-0.0076,22.79,65.52,2
0.5751,-0.0359,22.76,65.54,2
0.598,0.0229,22.75,65.56,2
0.6225,0.0245,22.83,65.58,2
0.5797,-0.0428,22.88,65.59,2
0.589,0.0093,22.75,65.61,2
0.5472,-0.0418,22.7,65.63,2
0.3883,-0.1589,22.94,65.67,1
0.4651,0.0768,23.18,65.72,1
0.5108,0.0457,23.1,65.73,2
0.5388,0.028,23.12,65.75,2
0.5338,-0.005,23.09,65.76,2
0.5399,0.0061,23.06,65.77,2
0.5645,0.0246,23.06,65.78,2
0.5812,0.0167,23.03,65.8,2
0.6309,0.0497,23.02,65.81,2
0.6683,0.0374,22.94,65.83,2
0.6619,-0.0064,22.9,65.85,2
0.6643,0.0024,22.8,65.86,2
0.6669,0.0025,22.77,65.88,2
0.7113,0.0445,22.82,65.9,2
0.6812,-0.0301,22.85,65.91,2
0.6741,-0.0071,22.89,65.93,2
0.6915,0.0174,22.91,65.94,2
0.6796,-0.0119,22.88,65.96,2
0.6122,-0.0674,22.8,65.97,2
0.5876,-0.0247,22.76,65.98,2
0.6256,0.0381,22.78,65.99,2
0.5941,-0.0315,22.74,66.0,2
0.6117,0.0175,22.74,66.01,2
0.6181,0.0064,22.7,66.02,2
0.6214,0.0033,22.66,66.03,2
0.6564,0.035,22.8,66.05,2
0.6922,0.0358,22.78,66.06,2
0.7019,0.0098,22.81,66.07,2
0.7412,0.0393,22.91,66.09,2
0.7293,-0.0119,22.9,66.1,2
0.7265,-0.0028,22.82,66.12,2
0.7285,0.002,22.94,66.13,2
0.6653,-0.0632,22.94,66.14,2
0.6908,0.0255,22.94,66.15,2
0.505,-0.1857,22.87,66.16,2
0.5427,0.0377,22.87,66.16,2
0.5597,0.017,22.86,66.17,2
0.6053,0.0456,22.77,66.17,2
0.6247,0.0194,22.78,66.18,2
0.659,0.0343,22.84,66.19,2
0.6647,0.0057,22.89,66.2,2
0.6207,-0.0439,22.8,66.21,2
0.6385,0.0178,22.79,66.21,2
0.6053,-0.0332,22.77,66.22,2
0.5682,-0.0371,22.72,66.22,2
0.5728,0.0047,22.77,66.23,2
0.6194,0.0466,22.74,66.23,2
0.6211,0.0017,22.71,66.24,2
0.6107,-0.0104,22.78,66.25,2
0.598,-0.0127,22.83,66.25,2
0.6108,0.0129,22.79,66.26,2
0.58,-0.0308,22.8,66.26,2
0.5988,0.0188,22.89,66.27,2
0.5782,-0.0207,22.77,66.27,2
0.5672,-0.011,22.81,66.27,2
