OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.0,0.0,27.69,60.14,1
0.115,0.115,27.48,60.28,1
0.2096,0.0946,27.58,60.46,0
0.2428,0.0332,27.65,60.63,0
0.3049,0.0621,27.55,60.77,1
0.3575,0.0526,27.44,60.92,1
0.3504,-0.0072,27.22,61.05,1
0.2245,-0.1258,27.26,61.22,0
0.3131,0.0885,27.42,61.38,0
0.3494,0.0364,27.25,61.51,1
0.3977,0.0483,27.16,61.64,1
0.425,0.0273,27.09,61.76,1
0.4153,-0.0097,27.05,61.89,1
0.4075,-0.0078,26.91,62.01,1
0.4021,-0.0054,26.76,62.13,1
0.4023,0.0001,26.63,62.25,1
0.4132,0.0109,26.61,62.37,1
0.4139,0.0007,26.63,62.48,1
0.4214,0.0075,26.52,62.59,1
0.487,0.0657,26.1,62.66,2
0.4505,-0.0366,25.74,62.73,2
0.451,0.0005,25.38,62.8,2
0.4597,0.0088,25.14,62.87,2
0.503,0.0433,24.91,62.94,2
0.5165,0.0134,24.73,63.0,2
0.4876,-0.0288,24.57,63.07,2
0.4841,-0.0035,24.37,63.13,2
0.5289,0.0448,24.17,63.19,2
0.5123,-0.0166,23.99,63.26,2
0.4676,-0.0447,23.82,63.31,2
0.4677,0.0001,23.66,63.37,2
0.4417,-0.026,23.81,63.47,1
0.4351,-0.0066,23.96,63.56,1
0.4422,0.0071,24.14,63.65,1
0.4482,0.0059,24.32,63.74,1
0.4513,0.0031,24.11,63.79,2
0.4749,0.0237,23.98,63.83,2
0.5206,0.0457,23.76,63.88,2
0.534,0.0133,23.64,63.93,2
0.5419,0.0079,23.6,63.98,2
0.5533,0.0115,23.41,64.03,2
0.5822,0.0288,23.36,64.08,2
0.6023,0.0202,23.34,64.13,2
0.6125,0.0102,23.26,64.17,2
0.6235,0.011,23.25,64.22,2
0.6218,-0.0018,23.2,64.27,2
0.6018,-0.02,23.28,64.31,2
0.6411,0.0393,23.22,64.36,2
0.6578,0.0167,23.13,64.4,2
0.6606,0.0028,23.13,64.45,2
0.6249,-0.0357,23.15,64.49,2
0.597,-0.028,23.07,64.53,2
0.6096,0.0126,23.1,64.57,2
0.6241,0.0146,23.03,64.61,2
0.5922,-0.0319,22.97,64.65,2
0.4262,-0.166,23.19,64.72,1
0.4471,0.0209,23.34,64.79,1
0.4918,0.0447,23.23,64.81,2
0.4929,0.0011,23.11,64.84,2
0.545,0.0521,23.1,64.87,2
0.5633,0.0183,23.01,64.9,2
0.5858,0.0226,22.95,64.93,2
0.5728,-0.0131,22.91,64.96,2
0.5696,-0.0032,22.93,64.99,2
0.5243,-0.0452,22.82,65.02,2
0.5186,-0.0057,22.75,65.05,2
0.5118,-0.0068,22.72,65.07,2
