OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.155,0.155,27.74,60.15,1
0.2242,0.0692,27.51,60.3,1
0.2887,0.0645,27.37,60.44,1
0.3181,0.0294,27.25,60.59,1
0.3481,0.03,27.13,60.74,1
0.3981,0.0501,27.0,60.88,1
0.4575,0.0594,26.59,60.99,2
0.4906,0.0331,26.08,61.09,2
0.4815,-0.0091,25.79,61.19,2
0.5196,0.0381,25.49,61.3,2
0.5074,-0.0123,25.19,61.4,2
0.5388,0.0314,24.99,61.5,2
0.5576,0.0188,24.73,61.59,2
0.5786,0.021,24.65,61.69,2
0.6073,0.0287,24.5,61.79,2
0.5808,-0.0264,24.38,61.88,2
0.5574,-0.0234,24.16,61.97,2
0.5584,0.001,24.02,62.06,2
0.5507,-0.0077,23.79,62.15,2
0.3951,-0.1556,23.95,62.26,1
0.4667,0.0716,24.12,62.38,1
0.5315,0.0648,23.95,62.46,2
0.5588,0.0273,23.81,62.54,2
0.5544,-0.0043,23.71,62.61,2
0.5388,-0.0156,23.62,62.69,2
0.5771,0.0382,23.46,62.76,2
0.6068,0.0297,23.45,62.84,2
0.6049,-0.0019,23.36,62.91,2
0.6471,0.0422,23.31,62.99,2
0.6323,-0.0148,23.19,63.06,2
0.6364,0.0041,23.13,63.13,2
0.6107,-0.0257,23.11,63.2,2
0.5613,-0.0494,23.19,63.26,2
0.5463,-0.015,23.21,63.32,2
0.554,0.0077,23.12,63.38,2
0.5605,0.0065,23.18,63.45,2
0.5961,0.0356,23.1,63.51,2
0.5857,-0.0104,23.12,63.57,2
0.6087,0.023,23.11,63.62,2
0.6106,0.002,23.02,63.68,2
0.6194,0.0087,23.06,63.74,2
0.6449,0.0255,23.06,63.8,2
0.6366,-0.0083,22.95,63.85,2
0.6618,0.0252,22.99,63.91,2
0.6685,0.0067,23.01,63.96,2
0.6649,-0.0036,23.05,64.02,2
0.6594,-0.0055,23.06,64.07,2
0.4819,-0.1775,23.03,64.11,2
0.501,0.0191,23.01,64.16,2
0.5715,0.0705,22.94,64.2,2
0.6077,0.0362,22.86,64.25,2
0.6572,0.0495,22.9,64.3,2
0.6684,0.0112,22.85,64.34,2
0.6442,-0.0242,22.9,64.39,2
0.6364,-0.0078,22.85,64.43,2
0.6395,0.0031,22.88,64.48,2
0.6178,-0.0217,22.92,64.52,2
0.642,0.0242,22.93,64.56,2
0.6134,-0.0286,22.94,64.6,2
0.6143,0.0008,22.91,64.64,2
0.6188,0.0045,22.95,64.68,2
0.5813,-0.0374,22.91,64.71,2
0.5504,-0.0309,22.93,64.74,2
0.5792,0.0287,22.78,64.78,2
0.5639,-0.0153,22.84,64.81,2
0.5571,-0.0068,22.88,64.84,2
0.5732,0.0162,22.88,64.87,2
0.5852,0.012,22.9,64.91,2
0.5701,-0.0152,22.93,64.94,2
0.5317,-0.0384,22.89,64.96,2
0.5632,0.0315,22.84,64.99,2
0.5584,-0.0048,22.87,65.02,2
0.574,0.0156,22.83,65.05,2
0.5899,0.0158,22.83,65.08,2
0.6201,0.0303,22.85,65.11,2
0.6167,-0.0035,22.85,65.14,2
0.6155,-0.0011,22.84,65.16,2
0.609,-0.0066,22.74,65.19,2
0.6457,0.0368,22.8,65.22,2
0.6262,-0.0195,22.79,65.25,2
0.6093,-0.0169,22.82,65.27,2
0.59,-0.0193,22.8,65.3,2
0.5873,-0.0027,22.74,65.32,2
0.6394,0.052,22.79,65.35,2
0.6203,-0.019,22.77,65.37,2
0.6262,0.0058,22.71,65.39,2
0.638,0.0118,22.71,65.42,2
0.6507,0.0128,22.68,65.44,2
0.6748,0.024,22.69,65.47,2
0.6506,-0.0242,22.72,65.49,2
0.6251,-0.0255,22.8,65.51,2
0.605,-0.0201,22.78,65.53,2
0.6093,0.0044,22.79,65.55,2
0.6144,0.0051,22.78,65.57,2
0.6165,0.002,22.77,65.59,2
0.6048,-0.0116,22.8,65.61,2
0.6468,0.042,22.86,65.63,2
0.6384,-0.0084,22.82,65.65,2
0.6214,-0.017,22.76,65.67,2
0.662,0.0406,22.74,65.69,2
0.6822,0.0202,22.71,65.71,2
0.6751,-0.0071,22.72,65.73,2
0.6785,0.0033,22.73,65.75,2
0.6899,0.0115,22.73,65.77,2
0.6812,-0.0087,22.76,65.78,2
0.6481,-0.0332,22.72,65.8,2
0.612,-0.0361,22.72,65.82,2
0.5888,-0.0232,22.7,65.83,2
0.6301,0.0413,22.7,65.84,2
0.6689,0.0387,22.74,65.86,2
0.624,-0.0449,22.73,65.87,2
0.5826,-0.0414,22.69,65.89,2
0.5501,-0.0325,22.7,65.9,2
0.5525,0.0024,22.67,65.91,2
0.567,0.0145,22.64,65.92,2
0.5666,-0.0004,22.57,65.93,2
0.5595,-0.0071,22.56,65.93,2
0.5917,0.0322,22.58,65.95,2
0.5957,0.004,22.62,65.96,2
0.58,-0.0157,22.57,65.97,2
0.6036,0.0236,22.56,65.98,2
0.6209,0.0173,22.51,65.99,2
0.6177,-0.0032,22.5,66.0,2
0.6604,0.0427,22.49,66.01,2
0.6931,0.0327,22.58,66.03,2
0.712,0.0189,22.58,66.04,2
0.6868,-0.0253,22.66,66.06,2
0.664,-0.0228,22.64,66.07,2
0.6468,-0.0172,22.6,66.08,2
0.6501,0.0033,22.59,66.09,2
0.6496,-0.0005,22.54,66.1,2
0.6542,0.0046,22.52,66.11,2
0.6367,-0.0174,22.6,66.12,2
0.6603,0.0235,22.57,66.13,2
0.663,0.0027,22.63,66.14,2
0.6843,0.0214,22.67,66.15,2
0.6767,-0.0076,22.62,66.16,2
0.6534,-0.0233,22.65,66.17,2
0.6156,-0.0378,22.72,66.18,2
0.618,0.0024,22.75,66.19,2
0.6242,0.0062,22.79,66.2,2
0.6139,-0.0102,22.79,66.2,2
0.6273,0.0133,22.84,66.21,2
0.6125,-0.0147,22.79,66.22,2
0.6191,0.0066,22.71,66.22,2
0.622,0.0029,22.71,66.23,2
