OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.135,0.135,27.84,60.15,1
0.234,0.099,27.64,60.3,1
0.322,0.088,27.55,60.45,1
0.3197,-0.0023,27.35,60.59,1
0.3475,0.0277,27.24,60.74,1
0.3825,0.035,27.1,60.88,1
0.3977,0.0152,27.03,61.02,1
0.3989,0.0012,26.97,61.16,1
0.412,0.0131,26.93,61.3,1
0.4863,0.0743,26.53,61.4,2
0.4805,-0.0058,26.08,61.5,2
0.48,-0.0005,25.75,61.59,2
0.4663,-0.0136,25.47,61.68,2
0.4899,0.0236,25.16,61.77,2
0.4866,-0.0033,24.83,61.86,2
0.4914,0.0048,24.55,61.95,2
0.4762,-0.0152,24.39,62.03,2
0.4645,-0.0116,24.2,62.12,2
0.4566,-0.0079,24.1,62.2,2
0.4696,0.013,23.96,62.28,2
0.5065,0.0369,23.78,62.36,2
0.5396,0.0331,23.7,62.44,2
0.5856,0.0461,23.54,62.52,2
0.6076,0.022,23.43,62.6,2
0.6455,0.0379,23.36,62.68,2
0.6498,0.0042,23.33,62.76,2
0.6519,0.0022,23.18,62.83,2
0.6423,-0.0097,23.17,62.91,2
0.5917,-0.0506,23.22,62.98,2
0.5585,-0.0332,23.06,63.05,2
0.5212,-0.0372,23.04,63.11,2
0.5536,0.0323,23.08,63.18,2
0.5627,0.0092,23.0,63.24,2
0.5802,0.0175,22.89,63.31,2
0.6172,0.037,22.83,63.37,2
0.5994,-0.0178,22.81,63.43,2
0.5878,-0.0116,22.76,63.5,2
0.5902,0.0024,22.73,63.56,2
0.5899,-0.0003,22.68,63.61,2
0.5823,-0.0076,22.74,63.67,2
0.5862,0.0039,22.75,63.73,2
0.5775,-0.0087,22.69,63.78,2
0.5678,-0.0097,22.71,63.83,2
0.5698,0.002,22.78,63.89,2
0.5829,0.013,22.77,63.94,2
0.5802,-0.0026,22.77,63.99,2
0.5487,-0.0315,22.75,64.03,2
0.5753,0.0266,22.62,64.08,2
0.538,-0.0373,22.61,64.13,2
0.5261,-0.0119,22.62,64.17,2
0.5188,-0.0073,22.6,64.21,2
0.5334,0.0146,22.56,64.26,2
0.5458,0.0124,22.57,64.3,2
0.5694,0.0236,22.55,64.34,2
0.5683,-0.0011,22.67,64.38,2
0.5561,-0.0122,22.66,64.42,2
0.5534,-0.0026,22.67,64.46,2
0.5564,0.003,22.75,64.5,2
0.5832,0.0267,22.73,64.54,2
0.5518,-0.0314,22.73,64.58,2
