OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.115,0.115,27.79,60.15,1
0.223,0.108,27.63,60.29,1
0.3168,0.0937,27.52,60.44,1
0.3378,0.021,27.38,60.59,1
0.3543,0.0166,27.16,60.74,1
0.2273,-0.127,27.31,60.9,0
0.292,0.0647,27.44,61.07,0
0.3681,0.0761,27.33,61.21,1
0.3804,0.0122,27.19,61.34,1
0.4013,0.0209,27.04,61.48,1
0.4409,0.0396,26.88,61.61,1
0.5051,0.0642,26.54,61.7,2
0.501,-0.0041,26.11,61.79,2
0.5185,0.0175,25.81,61.88,2
0.542,0.0235,25.54,61.97,2
0.5374,-0.0046,25.23,62.06,2
0.5582,0.0208,24.94,62.15,2
0.587,0.0287,24.8,62.23,2
0.6095,0.0226,24.67,62.32,2
0.4388,-0.1707,24.68,62.43,1
0.4986,0.0598,24.83,62.55,1
0.5491,0.0505,24.62,62.63,2
0.5605,0.0115,24.46,62.7,2
0.5525,-0.008,24.29,62.78,2
0.3931,-0.1594,24.37,62.88,1
0.4438,0.0506,24.49,62.98,1
0.4523,0.0085,24.32,63.05,2
0.3167,-0.1356,24.13,63.1,2
0.3912,0.0745,24.25,63.2,1
0.4097,0.0185,24.45,63.3,1
0.4063,-0.0034,24.58,63.39,1
0.436,0.0298,24.71,63.48,1
0.4484,0.0123,24.8,63.58,1
0.4806,0.0323,24.61,63.63,2
0.4667,-0.0139,24.46,63.68,2
0.4971,0.0304,24.25,63.73,2
0.4946,-0.0025,24.05,63.78,2
0.5268,0.0322,23.91,63.83,2
0.5212,-0.0055,23.72,63.88,2
0.5531,0.0319,23.63,63.93,2
0.5328,-0.0203,23.52,63.98,2
0.5314,-0.0015,23.46,64.03,2
0.5416,0.0102,23.39,64.07,2
0.563,0.0215,23.38,64.12,2
0.5815,0.0184,23.33,64.17,2
0.6016,0.0202,23.27,64.21,2
0.5984,-0.0032,23.25,64.26,2
0.578,-0.0204,23.24,64.3,2
0.5625,-0.0154,23.23,64.35,2
0.5743,0.0117,23.17,64.39,2
0.4118,-0.1625,23.36,64.46,1
0.4255,0.0138,23.55,64.53,1
0.4566,0.0311,23.43,64.56,2
0.481,0.0244,23.36,64.6,2
0.4973,0.0163,23.3,64.63,2
0.4999,0.0026,23.23,64.66,2
0.5509,0.051,23.15,64.7,2
0.5675,0.0166,23.0,64.73,2
0.5692,0.0017,22.93,64.76,2
0.5742,0.005,22.87,64.8,2
0.6243,0.0501,22.9,64.83,2
0.6253,0.001,22.93,64.87,2
0.5677,-0.0576,22.93,64.9,2
0.558,-0.0097,22.89,64.93,2
0.5701,0.0122,22.94,64.96,2
0.4075,-0.1626,23.18,65.02,1
0.5063,0.0988,23.32,65.09,1
0.5628,0.0566,23.24,65.11,2
0.5878,0.025,23.24,65.14,2
0.6029,0.0151,23.23,65.17,2
0.6423,0.0394,23.15,65.19,2
0.6238,-0.0185,23.05,65.22,2
0.6171,-0.0067,22.97,65.25,2
0.6319,0.0148,23.01,65.28,2
0.6336,0.0017,22.97,65.3,2
0.619,-0.0146,22.97,65.33,2
0.5775,-0.0415,22.94,65.35,2
0.5984,0.0209,22.92,65.37,2
0.6143,0.0159,22.99,65.39,2
0.5804,-0.0339,22.87,65.42,2
0.5924,0.012,22.81,65.44,2
0.564,-0.0284,22.78,65.46,2
0.6058,0.0418,22.76,65.48,2
0.6562,0.0504,22.79,65.5,2
0.6655,0.0093,22.75,65.52,2
0.6753,0.0098,22.8,65.55,2
0.678,0.0027,22.82,65.57,2
0.6131,-0.0649,22.81,65.59,2
0.5885,-0.0246,22.74,65.61,2
0.5804,-0.0081,22.77,65.62,2
0.5664,-0.0139,22.72,65.64,2
0.5855,0.019,22.68,65.66,2
0.6218,0.0364,22.66,65.67,2
0.6585,0.0366,22.7,65.69,2
0.6715,0.013,22.7,65.71,2
0.6933,0.0219,22.74,65.73,2
0.6753,-0.0181,22.8,65.75,2
0.6725,-0.0027,22.82,65.77,2
0.6623,-0.0103,22.75,65.79,2
0.6723,0.01,22.85,65.81,2
0.6916,0.0193,22.86,65.83,2
0.7105,0.0189,22.89,65.84,2
0.6906,-0.0199,22.89,65.86,2
0.7093,0.0187,22.87,65.88,2
0.7372,0.0279,22.95,65.9,2
0.7335,-0.0038,22.92,65.92,2
0.7484,0.015,22.91,65.94,2
0.7382,-0.0103,22.91,65.96,2
0.6873,-0.0509,22.94,65.97,2
0.6484,-0.0389,22.99,65.98,2
0.6666,0.0182,22.95,66.0,2
0.6485,-0.0182,22.97,66.01,2
0.6775,0.029,22.92,66.02,2
0.6657,-0.0118,22.9,66.04,2
0.6455,-0.0202,22.82,66.05,2
0.6496,0.0041,22.82,66.06,2
0.6264,-0.0231,22.8,66.07,2
0.6051,-0.0213,22.78,66.08,2
0.6093,0.0042,22.73,66.09,2
0.6162,0.0069,22.7,66.1,2
0.641,0.0248,22.67,66.11,2
0.6357,-0.0053,22.6,66.12,2
0.6198,-0.0158,22.58,66.12,2
0.6072,-0.0126,22.58,66.13,2
0.6042,-0.003,22.61,66.14,2
0.5731,-0.0311,22.76,66.15,2
0.5556,-0.0175,22.76,66.15,2
0.5509,-0.0047,22.75,66.16,2
0.5092,-0.0417,22.69,66.16,2
0.5364,0.0272,22.67,66.16,2
0.5561,0.0196,22.67,66.17,2
0.5972,0.0411,22.65,66.17,2
0.6595,0.0622,22.65,66.18,2
0.6408,-0.0187,22.68,66.19,2
