OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.115,0.115,27.81,60.15,1
0.1909,0.0759,27.66,60.29,1
0.2746,0.0837,27.75,60.47,0
0.3629,0.0882,27.95,60.65,0
0.3679,0.005,27.77,60.79,1
0.3914,0.0235,27.66,60.94,1
0.4404,0.0491,27.48,61.08,1
0.4589,0.0185,27.02,61.18,2
0.4745,0.0155,26.68,61.28,2
0.5239,0.0495,26.25,61.38,2
0.5651,0.0412,25.97,61.48,2
0.5475,-0.0176,25.63,61.58,2
0.532,-0.0155,25.45,61.68,2
0.548,0.016,25.16,61.77,2
0.5269,-0.0211,24.9,61.86,2
0.4964,-0.0305,24.64,61.95,2
0.5237,0.0272,24.48,62.04,2
0.5587,0.0351,24.25,62.12,2
0.5676,0.0089,24.09,62.21,2
0.5952,0.0276,23.91,62.29,2
0.5589,-0.0363,23.86,62.38,2
0.4001,-0.1588,23.98,62.49,1
0.4417,0.0416,24.14,62.6,1
0.4856,0.0439,24.03,62.67,2
0.5036,0.018,23.93,62.75,2
0.5013,-0.0023,23.84,62.82,2
0.5156,0.0143,23.73,62.89,2
0.5113,-0.0043,23.66,62.95,2
0.5306,0.0194,23.56,63.02,2
0.5622,0.0316,23.4,63.09,2
0.5342,-0.0281,23.22,63.15,2
0.5733,0.0392,23.16,63.22,2
0.4089,-0.1644,23.46,63.31,1
0.4864,0.0774,23.72,63.41,1
0.3524,-0.134,23.83,63.5,1
0.4069,0.0545,24.0,63.59,1
0.4877,0.0808,23.9,63.65,2
0.5189,0.0312,23.82,63.7,2
0.5286,0.0097,23.72,63.75,2
0.5274,-0.0012,23.62,63.8,2
0.5619,0.0346,23.54,63.85,2
0.5688,0.0068,23.39,63.91,2
0.553,-0.0157,23.29,63.95,2
0.5427,-0.0104,23.27,64.0,2
0.5736,0.031,23.23,64.05,2
0.5711,-0.0025,23.14,64.1,2
0.5811,0.01,23.12,64.15,2
0.5277,-0.0533,22.97,64.19,2
0.5657,0.038,22.94,64.23,2
0.5663,0.0006,22.88,64.28,2
0.5974,0.0311,22.92,64.32,2
0.6289,0.0316,22.82,64.37,2
0.617,-0.0119,22.86,64.41,2
0.6307,0.0137,22.85,64.45,2
0.6465,0.0158,22.78,64.5,2
0.6431,-0.0034,22.93,64.54,2
0.6347,-0.0084,23.02,64.58,2
0.6371,0.0024,22.99,64.62,2
0.6303,-0.0067,22.97,64.66,2
0.6126,-0.0177,22.94,64.7,2
0.6051,-0.0075,22.87,64.73,2
0.6245,0.0195,22.82,64.77,2
0.651,0.0264,22.81,64.81,2
0.6087,-0.0423,22.79,64.84,2
0.6074,-0.0013,22.89,64.87,2
