OCI,delta_OCI,temp_indoor,humi_indoor,ac_mode_class
0.14,0.14,27.78,60.15,1
0.2233,0.0833,27.69,60.3,1
0.134,-0.0893,27.83,60.47,0
0.2076,0.0735,27.9,60.64,0
0.3133,0.1058,27.81,60.78,1
0.4309,0.1176,27.71,60.93,1
0.2932,-0.1377,27.62,61.06,1
0.3753,0.0821,27.48,61.2,1
0.4599,0.0846,27.09,61.3,2
0.3198,-0.1401,26.59,61.39,2
0.3708,0.051,26.45,61.52,1
0.3779,0.0071,26.32,61.65,1
0.3842,0.0063,26.28,61.77,1
0.4109,0.0268,26.18,61.9,1
0.4098,-0.0011,26.09,62.02,1
0.4248,0.015,25.99,62.14,1
0.4563,0.0315,25.7,62.22,2
0.4557,-0.0006,25.42,62.3,2
0.4613,0.0056,25.14,62.38,2
0.472,0.0106,24.9,62.45,2
0.5312,0.0593,24.69,62.53,2
0.5222,-0.0091,24.48,62.61,2
0.551,0.0288,24.3,62.68,2
0.5685,0.0175,24.12,62.76,2
0.5807,0.0122,23.91,62.83,2
0.5998,0.0191,23.86,62.9,2
0.6003,0.0005,23.76,62.98,2
0.6218,0.0215,23.63,63.05,2
0.6054,-0.0164,23.49,63.12,2
0.5508,-0.0545,23.44,63.18,2
0.3908,-0.16,23.65,63.28,1
0.4418,0.051,23.9,63.37,1
0.5016,0.0598,23.79,63.43,2
0.5488,0.0472,23.83,63.49,2
0.5651,0.0163,23.68,63.55,2
0.5996,0.0344,23.65,63.61,2
0.6054,0.0059,23.49,63.67,2
0.5706,-0.0348,23.42,63.72,2
0.5333,-0.0373,23.26,63.77,2
0.5036,-0.0296,23.19,63.82,2
0.5158,0.0122,23.16,63.87,2
0.5286,0.0128,23.07,63.92,2
0.5505,0.0218,23.05,63.97,2
0.5817,0.0312,23.04,64.02,2
0.6173,0.0357,22.94,64.07,2
0.5681,-0.0492,22.94,64.12,2
0.5572,-0.0109,22.93,64.16,2
0.539,-0.0182,22.98,64.21,2
0.5529,0.0139,22.94,64.25,2
0.5514,-0.0016,22.82,64.29,2
0.6126,0.0612,22.87,64.34,2
0.6071,-0.0055,22.84,64.38,2
0.5708,-0.0363,22.89,64.42,2
0.6027,0.0319,22.9,64.46,2
0.6446,0.0419,22.94,64.51,2
0.6793,0.0348,22.88,64.55,2
0.6655,-0.0138,22.89,64.59,2
0.6434,-0.0222,22.87,64.63,2
0.5837,-0.0596,22.83,64.67,2
0.5912,0.0075,22.87,64.71,2
0.5539,-0.0373,22.89,64.74,2
0.5206,-0.0333,22.91,64.77,2
0.5175,-0.0031,22.87,64.8,2
0.5609,0.0434,22.88,64.83,2
0.5383,-0.0226,22.87,64.86,2
0.5657,0.0274,22.84,64.89,2
0.5732,0.0075,22.91,64.93,2
